mean,STD,RMS,ratio,label
0,0,0,0,0
0,0,0,0,0
0,0,0,0.5,0
-0.1,0.1,0.2,-1,0
12.5,10.8,15.8,1.2,0
20.7,10,22.5,2.1,0
0,0,0,0,0
0,0,0,0,0
0.7,3.4,3.1,0,0
87.8,45,96.6,0.8,0
152.2,11.5,152.6,0.2,0
65.6,45.2,77,2,0
0,0,0,0,0
0,0,0,0.1,0
0.1,0.4,0.3,0.4,0
18.7,20.7,26.4,0.9,0
100.7,16.7,101.8,6,0
19.2,21.7,27.3,0.9,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0.6,0
-0.2,0.4,0.4,-0.7,0
33.2,24.5,39.8,1.4,0
63.6,18.1,65.6,3.5,0
0,0,0,-0.9,0
2,1.9,2.7,1.1,0
17.5,9.1,19.3,1.9,0
21.4,10.2,23.3,2.1,0
9,7.8,11.4,1.1,0
41,5.8,41.3,7,0
0,0,0,0.6,0
-0.2,0.2,0.2,-0.7,0
20.5,17.3,25.7,1.2,0
143.8,44.2,149.1,3.3,0
51.6,42.9,64.3,1.2,0
7.3,5.2,8.7,1.4,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
36.8,111.2,106,0.3,1
1979.3,875.1,2128.4,2.3,1
3083.3,413.9,3105.5,7.4,1
3838,301.6,3847.5,12.7,1
1333.1,889.9,1552.6,1.5,1
344.1,50.4,347.1,6.8,1
120,65.1,133.4,1.8,1
1756.6,1074.9,2002.5,1.6,1
460.2,589.4,699.8,0.8,1
-4.7,7.4,8.1,-0.6,1
0,0,0,0.5,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1241.5,757.1,1414.2,1.6,1
208.7,281.1,326.8,0.7,1
2397.1,1268.4,2652,1.9,1
4098.1,16.8,4098.2,243.3,1
3501.3,566.7,3537.8,6.2,1
1899.7,382.5,1930.3,5,1
612.2,314.5,673.7,1.9,1
2227.6,1575.1,2635.7,1.4,1
4099.1,22.7,4099.2,180.9,1
3477.2,467.5,3502.2,7.4,1
1334.2,762.7,1498.5,1.7,1
1635.5,680.4,1745.1,2.4,1
2314.6,466,2351.8,5,1
448.6,307.6,526.2,1.5,1
1617.5,1297.9,1991,1.2,1
3564.9,61.8,3565.3,57.7,1
3411.5,527.3,3443.9,6.5,1
1527.6,324.8,1555,4.7,1
2567.2,655,2633.2,3.9,1
2595.2,506,2634.4,5.1,1
1404.5,266.2,1424.6,5.3,1
1646.6,1343.6,2038.5,1.2,1
4062.1,111.9,4063.3,36.3,1
3610.9,483.9,3636.7,7.5,1
1856.1,355.1,1883.1,5.2,1
635.8,372.7,717.8,1.7,1
59.2,66.4,83.8,0.9,1
-0.2,0.2,0.3,-1.3,1
1933.5,1444,2325.2,1.3,1
3939.8,100.6,3940.8,39.2,1
3874.2,125.7,3875.8,30.8,1
4066.8,40.9,4067,99.5,1
2421.4,1102.8,2614.6,2.2,1
271,190.9,320.3,1.4,1
13.7,19.6,22.2,0.7,1
755.5,737.8,1003.1,1,2
3486.9,607.5,3529,5.7,2
4050,18.3,4050,221.5,2
4036.7,7.6,4036.7,532.4,2
4059.2,7.8,4059.2,523.5,2
3858.9,222.7,3864.1,17.3,2
3573.5,109,3574.8,32.8,2
3739.2,114.2,3740.6,32.8,2
3924.2,105.4,3925.4,37.2,2
3310.1,193.2,3314.6,17.1,2
3163.5,48.4,3163.8,65.3,2
1932,1442,2323,1,2
4068,64,4069,6.4,2
4080,0,4080,1494,2
4081,1,4081,734.2,2
4081,0,4081,1267.7,2
4080,0,4080,951.6,2
4083,1,4083,648.2,2
4084,1,4084,486.4,2
4088,2,4088,176.4,2
4092,1,4092,610.8,2
4086,3,4086,166.8,2
2101,1508,2497,1,2
4077,37,4077,10.9,2
4083,2,4083,174.4,2
4084,2,4084,169,2
4080,1,4080,364.9,2
4084,1,4084,537.8,2
4082,1,4082,708.6,2
4082,1,4082,505.8,2
4081,0,4081,1352.9,2
4083,2,4083,206.8,2
4073,8,4073,51.6,2
2523,1682.5,2937.7,1.5,2
4099,23.8,4099,172.2,2
4083,1.8,4083,2311.5,2
4084.8,1,4084.8,4064.3,2
4083.4,0.6,4083.4,7309.6,2
4084.5,1,4084.5,4046,2
4086.7,0.9,4086.7,4423.7,2
4082.5,0.6,4082.5,7053.5,2
4083.5,2.3,4083.5,1773.2,2
4090.7,1.2,4090.7,3379.8,2
4081.3,2.9,4081.3,1389.4,2
2572.5,1702.4,2989.3,1.5,2
4099.6,27.3,4099.7,150.3,2
4083.1,1.7,4083.1,2335.6,2
4084.8,1,4084.8,4064.3,2
4083.4,0.6,4083.4,7309.6,2
4084.5,1,4084.5,4046,2
4086.7,0.9,4086.7,4423.7,2
4082.5,0.6,4082.5,7053.5,2
4083.5,2.3,4083.5,1773.2,2
4090.7,1.2,4090.7,3379.8,2
4081.3,2.9,4081.3,1389.4,2
2431,1645,2841,1,2
4090,17,4090,24.7,2
4078,2,4078,248,2
4078,1,4078,271.7,2
4076,0,4076,1290.5,2
4076,1,4076,263.3,2
4068,2,4068,216.1,2
4066,0,4066,1741,2
4067,1,4067,492.8,2
4068,1,4068,372,2
4078,12,4078,35,2
898.4,627.4,1059.2,1.4,2
1493.9,78.8,1495.6,19,2
2428.4,563.5,2480.2,4.3,2
3417.1,242.3,3424,14.1,2
4035.6,40.5,4035.8,99.6,2
4076.5,6.3,4076.5,644.7,2
4077,68,4080.2,58.9,2
3523.2,139.6,3525.4,25.2,2
3892,203.4,3896.2,19.1,2
2927.4,291.2,2939,10.1,2
3797,156.5,3799.6,24.3,2
